Book Id	Title	Language	Year	Rs	Pages	Available	Author	Translator	Publisher	Phone No	Copyrights	Edition	Category
001	ಸುಭಾಷಿತಮಂಜರೀ	Kannada	1977, 1980, 2001	20	558	ಇದೆ			ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪರಿಷತ್ , ಪಂಪಮಹಾಕವಿ ರಸ್ತೆ, ಚಾಮರಾಜಪೇಟೆ, ಬೆಂಗಳೂರು, ೫೬೦೦೧೮	೦೮೨೬೫-೨೭೪೧೦೦	ಹಕ್ಕುಗಳನ್ನು ಕಾದಿರಿಸಲಾಗಿದೆ.	ತೃತೀಯ ಮುದ್ರಣ	
002	ಸಂಸ್ಕೃತ ಭಾಷಾಶಾಸ್ತ್ರ ಮತ್ತು ಸಾಹಿತ್ಯ ಚರಿತ್ರೆ 	Kannada	1976		654	ಇಲ್ಲ	ಡಾ || ಕೆ ಕೃಷ್ಣಮೂರ್ತಿ; ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ; ವಿದ್ವಾನ್ ಎಚ್. ಕೆ. ಸಿದ್ದಗಂಗಯ್ಯ		ಕರ್ನಾಟಕ ಸರಕಾರ	೦೮೨೬೫-೨೭೪೧೦೦			
003	ಬೋಧಾಯನಿಯ ಸಂಕ್ಷಿಪ್ತಧಾರ್ಮಿಕವಿಧಿಃ	Kannada	1994, 2011		162	ಇದೆ			ಶ್ರೀ ಅಖಿಲ ಹವ್ಯಕ ಮಹಾಸಭಾ(ರಿ) , ೧೦೧, ೧೧ನೆಯ ಅಡ್ಡ್ಶರಸ್ತೆ, ೮ನೆಯ ಮುಖ್ಯರಸ್ತೆ, ಮಲ್ಲೇಶ್ವರಂ ಬೆಂಗಳೂರು. ೫೬೦೦೦೩	೦೮೨೬೫-೨೭೪೧೦೦		ದ್ವಿತೀಯ ಮುದ್ರಣ	
004	ಮರುಳ ಮುನಿಯನ ಕಗ್ಗ 	Kannada	1998		246	ಇಲ್ಲ	ಡಿ.ವಿ.ಜಿ		ಕಾವ್ಯಾಲಯ , ಜಯನಗರ, ಮೈಸೂರು -೫೭೦೦೧೪		ಗೋಖಲೆ ಸಾರ್ವಜನಿಕ ವಿಚಾರ ಸಂಸ್ಥೆ ಬೆಂಗಳೂರು 		
005	ವೇದ-ವೇದಾಂತ 	Kannada	2004	60	100	ಇದೆ	ಡಿ.ವಿ.ಜಿ		ಗೋಖಲೆ ಸಾರ್ವಜನಿಕ ವಿಚಾರ ಸಂಸ್ಥೆ, ಬುಲ್ ಟೆಂಪಲ್ ರಸ್ತೆ, ಎನ್.ಆರ್.ಕಾಲೋನಿ, ಬೆಂಗಳೂರು- ೫೬೦೦೧೯	೦೮೨೬೫-೨೭೪೧೦೦	ಗೋಖಲೆ ಸಾರ್ವಜನಿಕ ವಿಚಾರ ಸಂಸ್ಥೆ ಬೆಂಗಳೂರು 	ಪ್ರಥಮ ಮುದ್ರಣ	
006	ಶ್ರೀ ಮದ್ರಾಘವೇಂದ್ರ ಭಾರತೀ ಮಹಾಸ್ವಾಮಿಗಳು  	Kannada	1981		290		ರಾಮಕೃಷ್ಣ ಅಡ್ಕೋಳಿ,		ಬಿ. ಕೃಷ್ಣ ಭಟ್		ಪ್ರಕಾಶಕರು	ದ್ವಿತೀಯ ಮುದ್ರಣ	
007	Yugapurusha Shankara	English	2003		76		Vidwan Shri N. Ranganatha Sharma	Shri H.N. Narasimhaih	Vedanta Bharati		Vedanta Bharati	Third Edition	
008	ಸಂಸ್ಕೃತ ಸಮ್ಮೇಳನದ ಅಧ್ಯಕ್ಷಭಾಷಣ 	Kannada	1984		20		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ	ಕೆ. ಎಸ್. ಕಣ್ಣನ್	ಅಖಿಲ ಕರ್ಣಾಟಕ ಸಂಸ್ಕೃತ ಪರಿಷತ್ತಿನ ಪ್ರಕಾಶನ				
009	Sri Siddharudha Swamiji	English	2001		100		Vidwan Shri N. Ranganatha Sharma	Sri T.N. Padmanabhan	Sri Siddharudha Mission Bangalore			First Edition	
010	ದೇವವಾಣಿ ಸಂಸ್ಕೃತ ವಿಶ್ವಜನೀನಾ	Kannada	2011		55		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ		ವಿದ್ಯಾಗಣಪತಿ ಪ್ರಕಾಶನ				
011	ಶ್ರೀಮಜ್ಜಗದ್ಗುರು ಗಂಗಾಧರೇಂದ್ರ ಸರಸ್ವತೀಸ್ವಾಮಿಗಳವರ ದಶಮಾನ ಸ್ಮರನಸಂಚಿಕೆಯಲ್ಲಿ ಲೇಖನ-ಭಗವತ್ಪಾದಪ್ರಕಾಶನ 	Kannada	2002		236		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ, ತ್ಯಾಗಲಿ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ (ರಿ)		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ		
012	ಶ್ರೀಗುರುಕೃಪಾತಾರಂಗಿಣೀ-ಶ್ರೀರಾಮ ಚಂದ್ರಾಪುರಮಠ-1989   	Kannada	1989		280				ಶ್ರೀರಾಮ ಪ್ರಸಾದ ಪೋಷಿತ ವೈದಿಕಗ್ರಂಥ ಪ್ರಕಾಶನಸಮಿತಿ		All right are rescrved		
013	ವಾಲ್ಮೀಕಿ ಮುನಿಗಳ ಸೀತಾ ಸಮೀಕ್ಷಣ-ಉತ್ಥಾನ-೧೯೮೪ 	Kannada	1984		33		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ						
014	ನವರಸಗಳು ಮತ್ತು ಭಾವಗಳು-ಕ.ಸಾ.ಪ (ಸಾಹಿತ್ಯ ಚಿಂತನೆ) 	Kannada	2010		108				ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪರಿಷತ್ತು		ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಿದೆ	ಪ್ರಥಮ ಮುದ್ರಣ	
015	ಶ್ರಿರಾಮನಾಮಾವಲಿಃ	Kannada	2011		66				ಶ್ರೀಭಾರತೀಪ್ರಕಾಶನ		Publisher	First Edition	
016	ಒಂದನೆಯ ನಾಗವರ್ಮ (ಸಹಕರ್ತೃಕ) ಕ. ಸಾ.ಪ	Kannada	1973		208		ಪ್ರೋ|| ಎಚ್. ಎಂ. ಶಂಕರನಾರಾಯಣರಾವ್; ಶ್ರೀ ಪಿ. ವಿ. ಜೋಶಿ; ಡಾ|| ಡಿ. ಎಸ್. ಕರ್ಕಿ; ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ		ಐ. ಬಿ ಎಚ್ ಪ್ರಕಾಶನ			ಮೊದಲನೆಯ ಮುದ್ರಣ	
017	ಎರಡನೆಯ ನಾಗವರ್ಮ (ಸಹಕರ್ತೃಕ) ಕ. ಸಾ.ಪ	Kannada	1973		224		ಪ್ರೋ|| ಎಚ್. ಎಂ. ಶಂಕರನಾರಾಯಣರಾವ್; ವಿದ್ವಾನ್ ಎಂ. ರಾಜಗೋಪಾಲಾಚಾರ್ಯ; ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥಶರ್ಮ		ಐ. ಬಿ ಎಚ್ ಪ್ರಕಾಶನ			ಮೊದಲನೆಯ ಮುದ್ರಣ	
018	ಶತಾವಧಾನಶಂಸನ 	Kannada	2012		80				ಪದ್ಯಪಾನ				
019	ಭಾರತೀಯರ ಧರ್ಮ ಮತ್ತು ಸಂಸ್ಕೃತಿ-ಚಿಂತನ ಪ್ರಕಾಶ- ಸ್ಮರಣಸಂಚಿಕೆ 	Kannada	2008		79				Live Happily Foundation				
020	ಋಷಿಗಳ ರಾಷ್ಟ್ರಾಭಿಮಾನ-ದಶಾಸ್ಮರಣಂ-ಹರಿಹರಪುರಮಠ	Kannada			195				Sri Swayamprakasha Trust (R)		Author		
021	ಸಂಕ್ಷೇಪ ರಾಮಾಯಣಮ್-ಮುನ್ನುಡಿ-ರಾಮಾಯಣ ಪ್ರಸರಣ ಪರಿಷತ್  	Kannada	2004	0.5	19	ಇಲ್ಲ			ನರಸಿಂಹರಾಜಕಾಲೋನಿ ಅಸೋಸಿಯೇಷನ್, ನರಸಿಂಹರಾಜ ಕಾಲೋನಿ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೯	೦೮೦ -೩೩೮೯೧೪೩			
022	ಗೀತಾಜ್ಯೋತಿ-ಸಂಪಾದಕರ ನುಡಿ-ಸ್ವರ್ಣವಲ್ಲೀ ಮಠ 	Kannada	2011		154		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ			ಪ್ರಥಮ ಮುದ್ರಣ	
023	ಸಿದ್ಧಾಂತ ಬಿಂದು-ಭದ್ರಂ. ಶಿವಂ. ಮಂಗಳಮ್	Kannada	2010		228		ಶ್ರೀ ಮಧುಸೂದನ ಸರಸ್ವತಿ	ಪ್ರೊ. ಎಂ. ಎ. ಹೆಗಡೆ	ಉದಯ ಪ್ರಕಾಶನ		ಪ್ರೊ. ಎಂ. ಎ. ಹೆಗಡೆ	ಮೊದಲ ಮುದ್ರಣ	
024	ಸಮಯೋಚಿತ ಪದ್ಯಗಳು-ಮುನ್ನುಡಿ 	Kannada	2002		144		ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ	ಎನ್. ವಿ. ಅನಂತರಾಮಯ್ಯ	ಶ್ರೀ ನರಸಿಂಹರಾಜಾ ಕಾಲೋನಿ ಅಸೋಸಿಯೇಷನ್		ಹಕ್ಕುಗಳು ಕಾದಿರಿಸಲ್ಪಟ್ಟಿವೆ		
025	ವಾಲ್ಮೀಕಿ ಮುನಿಗಳ ಹಾಸ್ಯ ಪ್ರವೃತ್ತಿ 	Kannada	1996	24	78	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩			
026	ವ್ಯಾಸ ರಹಸ್ಯ	Kannada	1996, (1999)	30	78	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩	Author	ಪ್ರಥಮ ಮುದ್ರಣ	
027	ಯುಗ ಪುರುಷ ಶಂಕರ	Kannada	2000, 2002, 2006	15	80	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ (ವೇದ – ವೇದಾಂತ ಅಧ್ಯಯನ ಮತ್ತು ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ ) ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ	೦೮೨೨೩- ೨೬೨೪೭೧	ವೇದಾಂತಭಾರತೀ	ತೃತೀಯ ಮುದ್ರಣ	
028	ಮಾನವ ಧರ್ಮಶಾಸ್ತ್ರ ಮತ್ತು ಮಹಿಳೆ	Kannada	2004	90	180	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ, ಶ್ರೀ ಸೋಂದಾ ಸ್ವರ್ಣವಲ್ಲೀ ಮಹಾಸಂಸ್ಥಾನ, ಮಠದೇವಳ, ಶಿರಸಿ – ೫೮೧೩೩೬	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
029	ಹೊಸಗನ್ನಡ ವ್ಯಾಕರಣ	Kannada	2010	50	138	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪರಿಷತ್ , ಪಂಪ ಮಹಾಕವಿ ರಸ್ತೆ, ಚಾಮರಾಜಪೇಟೆ ಬೆಂಗಳೂರು – ೫೬೦೦೧೮	೦೮೦ -೩೩೮೯೧೪೩	ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಿದೆ		
030	ವ್ಯಾಕರಣ ಶಾಸ್ತ್ರದ ಪರಿವಾರ	Kannada	2002	94	218	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರಕವಿ ಗೋವಿಂದ ಪೈ ಸಂಶೋಧನ ಕೇಂದ್ರ, ಉಡುಪಿ – ೨ ಮತ್ತು ಶ್ರೀ ಜನಾರ್ದನ ಮತ್ತು ಮಹಾಕಾಳಿ ದೇವಾಲಯ , ಅಂಬಲಪಾಡಿ	೦೮೦ -೩೩೮೯೧೪೩	All Rights Reseved	ಪ್ರಥಮ ಮುದ್ರಣ	
031	ಪಂಚದಶೀ ಪ್ರವಚನ 	Kannada	2003	0.5	574	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ, ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ	೦೮೦ -೩೩೮೯೧೪೩	ವೇದಾಂತಭಾರತೀ	ಪ್ರಥಮ ಮುದ್ರಣ	
032	ಶ್ರೀರಾಮಕಥಾ ಮಂಜರಿ	Kannada	2000	160	535	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಮಾಯಣ ಪ್ರಕಾಶನ ಸಮಿತಿ , ನರಸಿಂಹರಾಜ ಕಾಲೋನಿ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೯	೦೮೦ -೩೩೮೯೧೪೩	ಲೇಖಕರರು	ಮೊದಲ ಮುದ್ರಣ	
033	ವಾಲಿವಧಪ್ರಸಂಗ	Kannada	1998	10	41	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ನರಸಿಂಹರಾಜಕಾಲೋನಿ ಅಸೋಸಿಯೇಷನ್ , ಶ್ರೀ ರಾಮ ಮಂದಿರ, ನರಸಿಂಹರಾಜಕಾಲೋನಿ, ಬೆಂಗಳೂರು- ೫೬೦೦೧೯	೦೮೦-೨೬೭೨೦೨೩೧	Reserved	ಪ್ರಥಮ ಮುದ್ರಣ	
034	ವಾಲ್ಮೀಕಿ ರಾಮಾಯಣದ ನಾಲ್ಕು ಪತ್ರಗಳು	Kannada	1996	15	92	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ರಾಷ್ಟ್ರಕವಿ ಗೋವಿಂದ ಪೈ ಸಂಶೋಧನ ಕೇಂದ್ರ, ಉಡುಪಿ – ೨ ಮತ್ತು ಶ್ರೀ ಜನಾರ್ದನ ಮತ್ತು ಮಹಾಕಾಳಿ ದೇವಾಲಯ , ಅಂಬಲಪಾಡಿ	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
035	ವರದ ಪುರದ ವರದ ಯೋಗಿ	Kannada	2006	25	76	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಶ್ರೀಧರಸೇವಾ ಮಹಾ ಮಂಡಲ(ರಿ), ಶ್ರೀಶ್ರೀಧರಾಶ್ರಮ, ಶ್ರೀಕ್ಷೇತ್ರ ವರದಪುರ. ಯಡಜಿಗಳೇ ಮನೆ ಅಂಚೆ, ಸಾಗರ ತಾಲ್ಲೂಕು, ಶಿವಮೊಗ್ಗ ಜಿಲ್ಲೆ, ಕರ್ನಾಟಕ – ೫೭೭೪೦೧	೦೮೦ -೩೩೮೯೧೪೩		ಎರಡನೆ ಮುದ್ರಣ	
036	ಹುಬ್ಬಳ್ಳಿಯ ಸಿದ್ಧಪುರುಷ 	Kannada	2001	30	100	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಶ್ರೀಸಿದ್ಧಾರೂಢ ಮಿಷನ್(ರಿ) , ಚಿಕ್ಕೆಲ್ಲೂರು ರಸ್ತೆ, ರಾಮೋಹಳ್ಳಿ, ಕೆಂಗೇರಿ ಹೋಬಳಿ, ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾ|| ೫೬೦೦೭೪	೦೮೦ -೩೩೮೯೧೪೩	ಪ್ರಕಾಶಕರ ಅಧೀನ	ಪ್ರಥಮ ಮುದ್ರಣ	
037	ದಿವ್ಯಜ್ಯೋತಿ ಶಂಕರ	Kannada	2002	15	74	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ವೇದಾಂತ ಭಾರತೀ (ವೇದ – ವೇದಾಂತ ಅಧ್ಯಯನ ಮತ್ತು ಸಂಶೋಧನೆ ಸಂಸ್ಥೆ ) ಚಂದ್ರಮೌಳಿ ರಸ್ತೆ, ಕೃಷ್ಣರಾಜ ನಗರ – ೫೭೧೬೦೨, ಮೈಸೂರು ಜಿಲ್ಲೆ.	೦೮೦ -೩೩೮೯೧೪೩	ವೇದಾಂತಭಾರತೀ	ಪ್ರಥಮ ಮುದ್ರಣ	
038	ಆಸ್ತಿಕ ಪರ್ವ 	Kannada	2007	50	86	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀ ಭಗವತ್ಪಾದ ಪ್ರಕಾಶನ, ಶ್ರೀ ಸೋಂದಾ ಸ್ವರ್ಣವಲ್ಲೀ ಮಹಾಸಂಸ್ಥಾನ , ಮಠದೇವಳ, ಶಿರಸಿ – ೫೮೧ ೩೩೬	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
039	ಪುರಾಣಗಳ ನೆಲೆ ತತ್ತ್ವವಿಚಾರ 	Kannada	2010	50	90	ಇದೆ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		 ಉದಯ ಪ್ರಕಾಶನ , ೯೮೪, ೧೧ ನೇ ಮುಖ್ಯ ರಸ್ತೆ, ೩ ನೇ ವಿಭಾಗ, ರಾಜಾಜಿ ನಗರ, ಬೆಂಗಳೂರು – ೫೬೦೦೧೦	೦೮೦ -೩೩೮೯೧೪೩		ಪ್ರಥಮ ಮುದ್ರಣ	
040	ಉಪನಿಷತ್ತಿನ ಕಥೆಗಳು 	Kannada	1993	8	50	ಇಲ್ಲ	ವಿದ್ವಾನ್ ಎನ್. ರಂಗನಾಥ ಶರ್ಮಾ		ಶ್ರೀಶಾರದಾ ಟ್ರಸ್ಟ್, ೪೫೮೧, ಗೋಮತಿ -ನರಸಿಂಹರಾಜ ಮೊಹೆಲ್ಲಾ, ಮೈಸೂರು – ೫೭೦೦೦೪	೦೮೦ -೩೩೮೯೧೪೩	ಎಲ್ಲಾ ಹಕ್ಕುಗಳೂ ಪ್ರಕಾಶಕರದು		
